,#,车站,到达,发车,停车,运行时间,latitude,longitude,elevation,in_cnt,out_cnt
0,1,攀枝花,-,07:30:00,-,00:00:00,26.543898,101.851822,993.7706909179688,0,0
1,2,桐子林,08:00:00,08:02:00,2分,00:30:00,26.710162,101.855071,1095.979125976562,0,0
2,3,枣子林,08:12:00,08:36:00,24分,00:42:00,26.745636,101.941424,1127.900024414062,0,0
3,4,米易,09:12:00,09:14:00,2分,01:42:00,26.875358,102.113794,1142.851928710938,0,34
4,5,弯坵,09:47:00,09:49:00,2分,02:17:00,27.068963,102.185844,1220.648193359375,34,66
5,6,永郎,09:59:00,10:02:00,3分,02:29:00,27.14293,102.246427,1242.20751953125,66,102
6,7,蒲坝,10:12:00,10:17:00,5分,02:42:00,27.226367,102.306485,1275.20263671875,102,135
7,8,乐跃,10:26:00,10:29:00,3分,02:56:00,27.296368,102.322376,1280.9091796875,135,150
8,9,德昌,10:53:00,10:57:00,4分,03:23:00,27.395984,102.186675,1360.7626953125,150,166
9,10,西昌南,12:49:00,13:00:00,11分,05:19:00,27.83868,102.213308,1520.689453125,166,172
10,11,西昌,13:08:00,13:24:00,16分,05:38:00,27.877752,102.22396,1545.41259765625,172,175
11,12,月华,13:52:00,14:02:00,10分,06:22:00,28.133672,102.18025,1596.632934570312,175,256
12,13,冕宁,14:27:00,14:31:00,4分,06:57:00,28.285955,102.194252,1729.7998046875,256,224
13,14,冕山,14:46:00,14:49:00,3分,07:16:00,28.35455,102.307385,1758.409057617188,224,223
14,15,喜德,15:01:00,15:03:00,2分,07:31:00,28.309709,102.39982,1820.550659179688,223,194
15,16,联合乡,15:13:00,15:15:00,2分,07:43:00,28.27173,102.467023,1888.48486328125,194,188
16,17,新凉,15:25:00,15:27:00,2分,07:55:00,28.25302,102.523517,2027.039916992188,188,178
17,18,铁口,15:38:00,16:14:00,36分,08:08:00,28.226518,102.529033,2314.00244140625,178,166
18,19,瓦祖,16:24:00,16:26:00,2分,08:54:00,28.204689,102.553004,2095.270751953125,166,119
19,20,沙马拉达,16:36:00,16:38:00,2分,09:06:00,28.226356,102.56532,2398.908203125,119,111
20,21,红峰,16:51:00,16:53:00,2分,09:21:00,28.283064,102.620659,2362.73828125,111,97
21,22,乐武,17:00:00,17:02:00,2分,09:30:00,28.301678,102.625045,2286.21240234375,97,69
22,23,尼波,17:11:00,17:13:00,2分,09:41:00,28.340838,102.627835,2174.198974609375,69,0
23,24,尔赛河,17:22:00,17:24:00,2分,09:52:00,28.40044,102.640498,2087.99658203125,0,0
24,25,上普雄,17:33:00,17:35:00,2分,10:03:00,28.461013,102.658799,1935.717407226562,0,0
25,26,普雄,17:42:00,-,-,10:12:00,28.514924,102.650228,1894.33154296875,0,0
